Dependent,Independent,Lag,ACF,Significant
NBP,JKM,28,0.024935708407443927,FALSE
NBP,JKM,29,-0.041048592146581325,TRUE
NBP,JKM,30,-0.04236352430530157,TRUE
NBP,JKM,31,0.03938245681251447,TRUE
NBP,JKM,32,-0.013250318289631724,FALSE
NBP,JKM,33,-0.023750281191819857,FALSE
NBP,JKM,34,0.051583158662894625,TRUE
NBP,TTF,1,0.20991215491743317,TRUE
NBP,TTF,2,0.08364206511281881,TRUE
NBP,TTF,3,0.07365892107445317,TRUE
NBP,TTF,4,-0.0673509320385546,TRUE
NBP,TTF,5,-0.036122456844837156,FALSE
NBP,TTF,6,-0.07608821414695283,TRUE
NBP,TTF,7,-0.06798337197618007,TRUE
NBP,TTF,8,-0.023484377039392185,FALSE
NBP,TTF,9,-0.08877322602133016,TRUE
NBP,TTF,10,-0.010797772842319411,FALSE
NBP,TTF,11,0.017831549376868733,FALSE
NBP,TTF,12,-0.00486364967968522,FALSE
NBP,TTF,13,-0.038185597548182175,FALSE
NBP,TTF,14,0.01614496886359996,FALSE
NBP,TTF,15,-0.04457399417929611,TRUE
NBP,TTF,16,-0.021749697474573493,FALSE
NBP,TTF,17,-0.009954619488673783,FALSE
NBP,TTF,18,0.017148798117932244,FALSE
NBP,TTF,19,-0.005725554286963591,FALSE
NBP,TTF,20,-0.0013315871933177923,FALSE
NBP,TTF,21,-0.02873098121299771,FALSE
NBP,TTF,22,0.017147856114077074,FALSE
NBP,TTF,23,0.013157453764922741,FALSE
NBP,TTF,24,0.01092254296766433,FALSE
NBP,TTF,25,-0.008398932263801935,FALSE
NBP,TTF,26,0.009549444509841331,FALSE
NBP,TTF,27,0.06697076283550586,TRUE
NBP,TTF,28,0.055130730604043506,TRUE
NBP,TTF,29,0.03248838116092712,FALSE
NBP,TTF,30,-0.016681888650444,FALSE
NBP,TTF,31,0.022283409748863024,FALSE
NBP,TTF,32,-0.014139235256511886,FALSE
NBP,TTF,33,-0.038586810680655614,FALSE
NBP,TTF,34,0.007292743532955177,FALSE
NBP,HH,1,-0.08321750511633288,TRUE
NBP,HH,2,-0.08964817527400007,TRUE
NBP,HH,3,-0.03766981825508266,FALSE
NBP,HH,4,0.03340383931653761,FALSE
NBP,HH,5,-0.04695156086928357,TRUE
NBP,HH,6,-0.030437560587921058,FALSE
NBP,HH,7,0.015951883354404697,FALSE
NBP,HH,8,0.015292212006191627,FALSE
NBP,HH,9,-0.04694697952324821,TRUE
NBP,HH,10,-0.029821949301128248,FALSE
NBP,HH,11,0.04251014137549439,TRUE
NBP,HH,12,0.01735553918295143,FALSE
NBP,HH,13,-0.002806802952148668,FALSE
NBP,HH,14,0.037188986567661474,FALSE
NBP,HH,15,-0.02477228931959354,FALSE
NBP,HH,16,-0.03371997671888674,FALSE
NBP,HH,17,-0.01989606085882329,FALSE
NBP,HH,18,0.013382064794345963,FALSE
NBP,HH,19,0.007513785745788143,FALSE
NBP,HH,20,0.03583039869067752,FALSE
NBP,HH,21,-0.01943617688684141,FALSE
NBP,HH,22,0.005032296465194926,FALSE
NBP,HH,23,0.030569722335725164,FALSE
NBP,HH,24,-0.009171151797640427,FALSE
NBP,HH,25,-0.008504477353239774,FALSE
NBP,HH,26,-0.01025590458441511,FALSE
NBP,HH,27,0.01716120796033514,FALSE
NBP,HH,28,0.015511760590915469,FALSE
NBP,HH,29,-0.05043906646660431,TRUE
NBP,HH,30,-0.032176878294434816,FALSE
NBP,HH,31,0.04558408657445321,TRUE
NBP,HH,32,-0.015569209149844004,FALSE
NBP,HH,33,-0.006104723593508753,FALSE
NBP,HH,34,0.05485902283145476,TRUE
