V_obs,Q_beta,log_V_obs,log_Q_beta,V_near_start_grid_edge,Q_near_start_grid_edge,Q_beta_effectively_zero,Phi1,Phi1_SE,Phi2,Phi2_SE,AR_Denominator,AR_Min_Root_Modulus,AR_Stable,AR_Denom_Caution,N_regimes,N_states,Neg_LogLik,AIC_hyper,BIC_hyper,AIC_static,BIC_static,Converged,Dependent,Independent,N
9.325452895296028e-4,4.6650425877537367e-5,-6.978665749104971,-9.972828501504932,TRUE,FALSE,FALSE,0.5845477916934122,0.01903219564318216,0.08803422149009911,0.018277684115415548,0.3274179868164887,1.410920628480461,TRUE,FALSE,5,8,-6889.385154796297,-13774.770309592594,-13763.106281231583,-13764.770309592594,-13723.946210329055,TRUE,JKM,NBP,2520
8.549880901032447e-4,6.437367313492345e-5,-7.065593310287887,-9.650805810689128,TRUE,FALSE,FALSE,0.5428297018687477,0.019023594351782462,0.08396650206795403,0.018090869592493102,0.3732037960632983,1.4960105671228046,TRUE,FALSE,5,8,-6900.203236786704,-13796.406473573408,-13784.742445212398,-13786.406473573408,-13745.58237430987,TRUE,JKM,TTF,2520
0.001547750820940544,9.378100615151607e-6,-6.471598792801389,-11.577133308504827,TRUE,FALSE,FALSE,0.9078970760331307,0.019932243436903287,0.02352669046535268,0.019862450274977673,0.06857623350151658,1.07168469996241,TRUE,FALSE,6,9,-6729.3712575033205,-13454.742515006641,-13443.07848664563,-13442.742515006641,-13396.086401562598,TRUE,JKM,HH,2520
7.070722149058725e-4,2.623797698294985e-4,-7.255793038299946,-8.245717600552805,TRUE,FALSE,FALSE,0.3102767253485383,0.01933106679043109,0.018783388269317483,0.01871229574499964,0.6709398863821442,2.761333135577445,TRUE,FALSE,5,8,-6224.881339898313,-12445.762679796626,-12434.098651435615,-12435.762679796626,-12394.938580533088,TRUE,NBP,JKM,2520
7.402455571932934e-5,6.172052931323144e-5,-9.524714793662016,-9.692893954465397,TRUE,FALSE,FALSE,0.023601901758025044,0.007518469173241685,0.030875466547801187,0.006936633963953357,0.9455226316941738,5.321669877776099,TRUE,FALSE,6,9,-8617.074171321661,-17230.148342643322,-17218.484314282312,-17218.148342643322,-17171.492229199277,TRUE,NBP,TTF,2520
0.0014188213079457594,6.553344660727336e-4,-6.558633875776504,-7.330364817433276,TRUE,FALSE,FALSE,0.5572132998700305,0.019865619584185045,0.04679316688971292,0.020038718195612183,0.39599353324025655,1.5839538690900934,TRUE,FALSE,6,9,-6035.938236616054,-12067.876473232109,-12056.212444871098,-12055.876473232109,-12009.220359788065,TRUE,NBP,HH,2520
7.281206478117916e-4,1.5278459300288052e-4,-7.226418141225848,-8.786481517448635,TRUE,FALSE,FALSE,0.3968595670097964,0.019332980836653864,-0.007163687669076975,0.01852373048233506,0.6103041206592805,2.6461806021532683,TRUE,FALSE,5,8,-6548.975171647211,-13093.950343294422,-13082.286314933412,-13083.950343294422,-13043.126244030884,TRUE,TTF,JKM,2520
8.072519459073014e-5,5.312636071216107e-5,-9.436924904296843,-9.842837317642326,TRUE,FALSE,FALSE,0.10074611199769096,0.008183499098173758,-3.9200387217189306e-5,0.007730991766928025,0.8992930883895263,9.964576255258335,TRUE,FALSE,6,9,-8615.246036029037,-17226.492072058074,-17214.828043697064,-17214.492072058074,-17167.83595861403,TRUE,TTF,NBP,2520
0.0018870246155678605,5.580264199705919e-5,-6.2732840431233505,-9.793689342080324,TRUE,FALSE,FALSE,0.8721171915155894,0.01992468630173884,-0.029967682262018923,0.019885366608347645,0.1578504907464295,1.1957677420868256,TRUE,FALSE,6,9,-6352.852203390934,-12701.704406781868,-12690.040378420857,-12689.704406781868,-12643.048293337824,TRUE,TTF,HH,2520
6.384948252867889e-4,1.553353338608425e-4,-7.3579643981618315,-8.769924333657208,TRUE,FALSE,FALSE,0.27251815979531874,0.019973861786861894,0.0677147811519469,0.01978220092650795,0.6597670590527343,2.325603583309143,TRUE,FALSE,6,9,-6622.64585226859,-13241.29170453718,-13229.62767617617,-13229.29170453718,-13182.635591093136,TRUE,HH,JKM,2520
7.508951693572034e-4,1.405516752478477e-4,-7.195577135393636,-8.86993534145226,TRUE,FALSE,FALSE,0.3434214816622147,0.019840841044555968,0.0839383803759265,0.019739157300969774,0.5726401379618588,1.9665915702220853,TRUE,FALSE,6,9,-6635.700569310882,-13267.401138621764,-13255.737110260754,-13255.401138621764,-13208.74502517772,TRUE,HH,NBP,2520
7.218874708559986e-4,1.6143183634179946e-4,-7.235027506568834,-8.731427570391535,TRUE,FALSE,FALSE,0.3314156415979723,0.01989858191065703,0.08014737633993929,0.019761702345518058,0.5884369820620884,2.025349049583402,TRUE,FALSE,6,9,-6642.589261741215,-13281.17852348243,-13269.514495121419,-13269.17852348243,-13222.522410038386,TRUE,HH,TTF,2520
