Dependent,Independent,Date,v_t,F_t,LogLik_t
JKM,NBP,2016-01-06,0.009341570801228105,1100.0190782552245,-4.420479974122092
JKM,NBP,2016-01-07,-0.005396608675333647,0.12552577198851492,0.11856755469575536
JKM,NBP,2016-01-08,0.002560823834036441,0.004470538506400252,1.7854512215775455
JKM,NBP,2016-01-11,3.779087273960702e-4,0.0030101590920198775,1.983918918189411
JKM,NBP,2016-01-12,-0.006379111822045314,0.003932889009194558,1.8450785379656591
JKM,NBP,2016-01-13,-0.0013867291593725461,0.0018480127892851624,2.227363365971563
JKM,NBP,2016-01-14,-0.001068616760613983,0.0018730631853567047,2.220846694728913
JKM,NBP,2016-01-19,-0.20233400763805554,0.001889017538006328,-8.619158827383243
JKM,NBP,2016-01-20,0.7881550412673703,1.4116101407327646,-1.3113323350785484
JKM,NBP,2016-01-21,0.07909221278870815,0.3912871538554418,-0.4577753333051891
JKM,NBP,2016-01-22,-0.030732046469844176,0.0026970728098552363,1.863766008085343
JKM,NBP,2016-01-25,0.03090631230309593,0.0017923673567676406,1.9767071886520111
JKM,NBP,2016-01-26,0.004653399543610659,0.0014870278359945346,2.3292684034491358
JKM,NBP,2016-01-27,-0.02227027887783506,0.0014069991728618359,2.187960181782021
JKM,NBP,2016-01-28,-0.03729389164538155,0.0015783751969008022,1.8661505876119917
JKM,NBP,2016-01-29,0.005758967076221033,0.001328115931564484,2.380572437217382
JKM,NBP,2016-02-01,0.032884385037414976,0.0013619495192034874,1.9834824212484041
JKM,NBP,2016-02-02,0.04042413671799605,0.0013398441325772111,1.778848682472515
JKM,NBP,2016-02-03,0.01621309833138862,0.001319719283269401,2.296638493787156
JKM,NBP,2016-02-04,0.033321694862890716,0.00137083433367292,1.9722440857798313
JKM,NBP,2016-02-05,0.0184393364466362,0.0013783407656844688,2.2511588799095357
JKM,NBP,2016-02-08,0.013413710096582765,0.0013311977242781133,2.32431846343971
JKM,NBP,2016-02-09,0.0049725816185774985,0.0012964758952428697,2.395578170167599
JKM,NBP,2016-02-10,0.011819367477136522,0.0013111942607659669,2.3461988486797622
JKM,NBP,2016-02-11,0.011578187661197115,0.001307114670645386,2.349749266625246
JKM,NBP,2016-02-12,-1.9263586722639836e-4,0.001285214769334663,2.4094617495388486
JKM,NBP,2016-02-16,-0.1187021583051644,0.0013294614419226717,-2.9066622402348776
