Dependent,Independent,Date,Residual_Std
JKM,NBP,2016-01-06,2.8165651477849563e-4
JKM,NBP,2016-01-07,-0.015231913918834293
JKM,NBP,2016-01-08,0.03830008900534688
JKM,NBP,2016-01-11,0.0068879850668560555
JKM,NBP,2016-01-12,-0.10171953589623642
JKM,NBP,2016-01-13,-0.032258128049632295
JKM,NBP,2016-01-14,-0.02469140298325822
JKM,NBP,2016-01-19,-4.655334466456977
JKM,NBP,2016-01-20,0.6633676259039318
JKM,NBP,2016-01-21,0.12644042038273948
JKM,NBP,2016-01-22,-0.5917593733939766
JKM,NBP,2016-01-25,0.7300181802729719
JKM,NBP,2016-01-26,0.12067319008704236
JKM,NBP,2016-01-27,-0.5937159748147907
JKM,NBP,2016-01-28,-0.9387124564119969
JKM,NBP,2016-01-29,0.15802529237182275
JKM,NBP,2016-02-01,0.8910646591369157
JKM,NBP,2016-02-02,1.104367492912911
JKM,NBP,2016-02-03,0.44629830293905814
JKM,NBP,2016-02-04,0.8999836019945082
JKM,NBP,2016-02-05,0.49666892462344825
JKM,NBP,2016-02-08,0.36764412702596405
JKM,NBP,2016-02-09,0.13810191378318157
JKM,NBP,2016-02-10,0.326407940866184
JKM,NBP,2016-02-11,0.3202460191218089
JKM,NBP,2016-02-12,-0.005373401578389949
JKM,NBP,2016-02-16,-3.2555228095807816
JKM,NBP,2016-02-17,0.03997761658589694
JKM,NBP,2016-02-18,-0.7426156151088384
JKM,NBP,2016-02-19,-0.3723961586672066
JKM,NBP,2016-02-22,-0.9858500707487812
JKM,NBP,2016-02-23,-0.3706740814584814
JKM,NBP,2016-02-24,-0.2168684246359419
JKM,NBP,2016-02-25,0.26258198304001085
JKM,NBP,2016-02-26,-0.20367601989387116
JKM,NBP,2016-02-29,0.18472445846130475
JKM,NBP,2016-03-01,-0.02846876621727281
JKM,NBP,2016-03-02,0.09909637259229964
JKM,NBP,2016-03-03,0.1459229214381356
JKM,NBP,2016-03-04,0.3209413501272086
JKM,NBP,2016-03-07,0.37597896137758857
JKM,NBP,2016-03-08,0.11755348855955777
JKM,NBP,2016-03-09,0.10560344876268693
JKM,NBP,2016-03-10,0.255440762477471
JKM,NBP,2016-03-11,-0.052518180740792716
JKM,NBP,2016-03-14,-0.0452612840081732
JKM,NBP,2016-03-15,-0.11307076611107825
JKM,NBP,2016-03-16,-0.492003699847516
JKM,NBP,2016-03-17,-0.37185279645845215
JKM,NBP,2016-03-18,-0.2958461621723114
JKM,NBP,2016-03-21,-0.42900555057264284
JKM,NBP,2016-03-22,0.11638897001553034
JKM,NBP,2016-03-23,0.08132908779338563
JKM,NBP,2016-03-24,-0.12367435220865416
JKM,NBP,2016-03-29,-0.29461033036385637
JKM,NBP,2016-03-30,-0.3060885090259368
JKM,NBP,2016-03-31,0.15911974459644565
JKM,NBP,2016-04-01,0.5887613239399733
JKM,NBP,2016-04-04,0.5549287836283582
JKM,NBP,2016-04-05,0.6189708056596153
