Date,Pair,Spread
2016-01-04,JKM-NBP,0.3512751385025088
2016-01-05,JKM-NBP,0.33462778482256517
2016-01-06,JKM-NBP,0.3042277023997917
2016-01-07,JKM-NBP,0.262659511000489
2016-01-08,JKM-NBP,0.3146601976665402
2016-01-11,JKM-NBP,0.31506464661037503
2016-01-12,JKM-NBP,0.3620823684492511
2016-01-13,JKM-NBP,0.35392332827520456
2016-01-14,JKM-NBP,0.3786892557806325
2016-01-19,JKM-NBP,0.20328730327751487
2016-01-20,JKM-NBP,0.20724793845925027
2016-01-21,JKM-NBP,0.19296161962096625
2016-01-22,JKM-NBP,0.14317596665464394
2016-01-25,JKM-NBP,0.18717707577035192
2016-01-26,JKM-NBP,0.17337730117172234
2016-01-27,JKM-NBP,0.1456148433649358
2016-01-28,JKM-NBP,0.10877330038709743
2016-01-29,JKM-NBP,0.1483646159500065
2016-02-01,JKM-NBP,0.1854213611241755
2016-02-02,JKM-NBP,0.20937642193434103
2016-02-03,JKM-NBP,0.2060890554926058
2016-02-04,JKM-NBP,0.24688981815071331
2016-02-05,JKM-NBP,0.2554920217333767
2016-02-08,JKM-NBP,0.25573203133491273
2016-02-09,JKM-NBP,0.2471277717508844
2016-02-10,JKM-NBP,0.2632010456980385
2016-02-11,JKM-NBP,0.26950868427242036
2016-02-12,JKM-NBP,0.25237712763702813
2016-02-16,JKM-NBP,0.1508228897345838
2016-02-17,JKM-NBP,0.14195583656374944
2016-02-18,JKM-NBP,0.10954637359050445
2016-02-19,JKM-NBP,0.1052411767949839
2016-02-22,JKM-NBP,0.07039901186394126
2016-02-23,JKM-NBP,0.07650249137985488
2016-02-24,JKM-NBP,0.08187342309769696
2016-02-25,JKM-NBP,0.08992715790479355
2016-02-26,JKM-NBP,0.06883182792431985
2016-02-29,JKM-NBP,0.08269560342410398
2016-03-01,JKM-NBP,0.0776241440276646
2016-03-02,JKM-NBP,0.0768883990527216
2016-03-03,JKM-NBP,0.08180362153138221
2016-03-04,JKM-NBP,0.09980775025461797
2016-03-07,JKM-NBP,0.10536051565782611
2016-03-08,JKM-NBP,0.09206544963943597
2016-03-09,JKM-NBP,0.09102558648683412
2016-03-10,JKM-NBP,0.10698663397224428
2016-03-11,JKM-NBP,0.09298105575579196
2016-03-14,JKM-NBP,0.0971729001382442
2016-03-15,JKM-NBP,0.091505766577469
2016-03-16,JKM-NBP,0.07575268058879425
2016-03-17,JKM-NBP,0.05512839017149318
2016-03-18,JKM-NBP,0.05272973226920641
2016-03-21,JKM-NBP,0.05845432508088777
2016-03-22,JKM-NBP,0.06190005824650946
2016-03-23,JKM-NBP,0.06165354031108117
2016-03-24,JKM-NBP,0.04770153330462601
2016-03-29,JKM-NBP,0.03178607799872646
2016-03-30,JKM-NBP,0.02415973026366247
2016-03-31,JKM-NBP,0.06309265908209216
2016-04-01,JKM-NBP,0.0910717998771724
2016-04-04,JKM-NBP,0.11071545564008645
2016-04-05,JKM-NBP,0.12442875070868165
2016-04-06,JKM-NBP,0.10941625484711026
2016-04-07,JKM-NBP,0.13787183785674229
2016-04-18,JKM-NBP,0.03692335410459768
2016-04-19,JKM-NBP,0.009545412843531276
2016-04-20,JKM-NBP,0.018463598361340594
2016-04-21,JKM-NBP,0.02642286297615737
2016-04-22,JKM-NBP,-0.016395702691533343
2016-04-25,JKM-NBP,0.019462549074912072
2016-04-26,JKM-NBP,-0.04692623073136937
2016-04-27,JKM-NBP,-0.03314502475902392
2016-04-28,JKM-NBP,0.06322647196618769
2016-04-29,JKM-NBP,0.08920195836944833
2016-05-02,JKM-NBP,0.0851432205546594
2016-05-03,JKM-NBP,0.12647668964463255
2016-05-04,JKM-NBP,0.1009259185899607
2016-05-05,JKM-NBP,0.07257069283483553
2016-05-06,JKM-NBP,0.0599257609311874
2016-05-09,JKM-NBP,0.037041271680348986
2016-05-10,JKM-NBP,0.051352366366774316
2016-05-11,JKM-NBP,0.03867316387138753
2016-05-12,JKM-NBP,0.05105730618586524
2016-05-16,JKM-NBP,0.03896152886733528
2016-05-17,JKM-NBP,0.036409027191427246
