Hub,ARCH_LM_stat,ARCH_LM_p
Brent_crude,444.76444129578766,2.7331558932101397e-89
HH,139.92588376081943,4.364380630010839e-25
JKM,6.7734999658563675,0.7466409250513671
NBP,406.9609807934108,3.104594193179418e-81
TTF,467.32187498061603,4.206721527873751e-94
