Pair,N,Mean,SD,Min,P5,Median,P95,Max,Skew,Kurt,Mean_Abs_Spread,Pct_above_0.5,Pct_above_1.0
JKM-HH,2522,1.1754851178769576,0.45283725214574433,-0.05490064146644824,0.5344471518836433,1.1759564135598792,1.8841952317300403,2.545840367905595,0.05944625438963642,-0.6359845260284476,1.17552865526115,95.92,60.27
JKM-NBP,2522,0.13730469727320424,0.13869914380970016,-0.4542100957915389,-0.07673405321493401,0.13194177082610292,0.36863718102901666,0.8201070465275824,0.28065151528261184,1.8869828475725496,0.15798021610742816,0.95,0
JKM-TTF,2522,0.23210503509195102,0.19126392663395395,-0.4103970026675521,-0.1497927506359837,0.23897086780533605,0.5197175031166548,1.1290562933345532,-0.12320071265877561,2.1472137614339397,0.26179164915496095,6.15,0.32
NBP-HH,2522,1.0381804206037535,0.49915122669416867,-0.5760333464494486,0.3595776485992364,0.9933203986375008,1.8179529119141897,2.740030952269888,0.07227173526890893,-0.31258787611810446,1.044424030781217,85.49,49.6
NBP-TTF,2522,0.09480033781874678,0.130780684301269,-0.6884282506610209,-0.17538444261133232,0.11414640729373138,0.24222602533443782,0.34376865355379826,-2.626172125753117,9.65041319109295,0.1349972949001484,1.03,0
TTF-HH,2522,0.9433800827850066,0.5438093035128918,-0.5750601103628963,0.24096258569521223,0.8229825386404422,1.8499330191704946,2.6311686796671294,0.2895941757517494,-0.6384921088246469,0.9513838403180923,75.5,44.01
