Hub,N,Mean,SD,Annualized_SD,Min,P5,Median,P95,Max,Skew,Kurt,JB_stat,JB_p
Brent_crude,2521,4.960240112522917e-4,0.03161306910599642,0.5018419142037932,-0.6436989051459642,-0.03987398771513938,0.0014071296880880046,0.03832333178888528,0.4120225086543235,-2.6847936047436725,89.35216654873709,841661.2841330281,0
HH,2521,8.393283838093611e-5,0.04399468523297929,0.6983939768101737,-0.6439740946933206,-0.06592763286385568,3.196420036804853e-4,0.06348016509341,0.3817267591032599,-1.0090130101712753,23.920311275405183,60530.651227449656,0
JKM,2521,4.2701459655450607e-4,0.04130630344356518,0.6557172389462663,-0.7649764013892433,-0.03892383251832079,0,0.040945825862125994,0.39277540131773264,-1.7905891856772498,66.44231636664705,465062.1307428849,0
NBP,2521,4.97845408438596e-4,0.054930876566553,0.8720006321633088,-0.36093994330026324,-0.07828114045980807,7.35744974942976e-4,0.0792534986756072,0.39920325991119077,0.4522313690225936,8.908747563866672,8422.643773294038,0
TTF,2521,4.941407940650494e-4,0.04787357966978283,0.7599695170600984,-0.3524306214018713,-0.06642620456738837,0,0.06975572702850472,0.4127955378582217,0.3795303612231105,10.405380484889147,11433.587540821261,0
