Hub,N,Mean,SD,Min,P5,Median,P95,Max,Skew,Kurt,JB_stat,JB_p
Brent_crude,2522,11.75731220432607,3.266444054869937,1.572413793103448,6.6899999999999995,11.84396551724138,17.21862068965517,22.962068965517243,0.19269566929471885,0.514290942121006,43.40169245720205,3.7622027715400463e-10
HH,2522,3.227770816812054,1.381540659849137,1.482,1.8,2.882,6.469149999999996,9.68,2.1515065731240046,5.10982392700447,4689.472235577725,0
JKM,2522,12.300994845360824,9.616615479843261,1.995,3.525,9.8575,34.42824999999999,69.955,2.1307870908954007,5.1281307105836,4671.872499556654,0
NBP,2522,11.111828310864393,9.557608309781093,1.027,2.9662,8.2905,32.193099999999994,75.223,2.4049082423319477,7.028574714437429,7622.240298681289,0
TTF,2522,10.864356463124505,11.482632882373295,1.028,2.64055,7.1579999999999995,34.49519999999996,99.409,2.9512406446481267,10.527995867812662,15308.327979996742,0
