Date,Pair,Correlation
2017-01-17,JKM-NBP,0.12923402129021783
2017-01-18,JKM-NBP,0.1296753521511687
2017-01-19,JKM-NBP,0.13040384678707595
2017-01-20,JKM-NBP,0.1313949003808788
2017-01-23,JKM-NBP,0.1316254478871708
2017-01-24,JKM-NBP,0.1314955655343492
2017-01-25,JKM-NBP,0.13080872841738012
2017-01-26,JKM-NBP,0.13087316033639398
2017-01-27,JKM-NBP,0.13058393133347132
2017-01-30,JKM-NBP,0.11082771066313209
2017-01-31,JKM-NBP,0.1007980616732492
2017-02-01,JKM-NBP,0.09565275005780488
2017-02-02,JKM-NBP,0.09793793764284842
2017-02-03,JKM-NBP,0.09744057325013458
2017-02-06,JKM-NBP,0.09781525622073545
2017-02-07,JKM-NBP,0.0996641665703267
2017-02-08,JKM-NBP,0.10042264838031167
2017-02-09,JKM-NBP,0.10041883876193726
2017-02-10,JKM-NBP,0.10271182560410873
2017-02-13,JKM-NBP,0.10340062154828572
2017-02-14,JKM-NBP,0.10212610194416685
2017-02-15,JKM-NBP,0.1051323319512436
2017-02-16,JKM-NBP,0.07193744659509907
2017-02-17,JKM-NBP,0.07187811585106953
2017-02-21,JKM-NBP,0.07192148327180152
2017-02-22,JKM-NBP,0.07191815870408022
2017-02-23,JKM-NBP,0.07170386427669
2017-02-24,JKM-NBP,0.0718078510119935
2017-02-27,JKM-NBP,0.04429787029384395
2017-02-28,JKM-NBP,0.04459669081728561
2017-03-01,JKM-NBP,0.046313183697691516
2017-03-02,JKM-NBP,0.04654409207344499
2017-03-03,JKM-NBP,0.04886376426338523
2017-03-06,JKM-NBP,0.04786315904158222
2017-03-07,JKM-NBP,0.045335471006270556
2017-03-08,JKM-NBP,0.04541046499310371
2017-03-09,JKM-NBP,0.046337232557901877
2017-03-10,JKM-NBP,0.04610295048841342
2017-03-13,JKM-NBP,0.04617240124775803
2017-03-14,JKM-NBP,0.04609958604429519
2017-03-15,JKM-NBP,0.045793615595588144
2017-03-16,JKM-NBP,0.04813936053716976
2017-03-17,JKM-NBP,0.04802232854286241
2017-03-20,JKM-NBP,0.04810633790824626
2017-03-21,JKM-NBP,0.04799014436071049
2017-03-22,JKM-NBP,0.04831537996721474
2017-03-23,JKM-NBP,0.04818281865531756
2017-03-24,JKM-NBP,0.04830756820903252
2017-03-27,JKM-NBP,0.04846760424482211
2017-03-28,JKM-NBP,0.04860815451657594
2017-03-29,JKM-NBP,0.0484040351075544
2017-03-30,JKM-NBP,0.04813577080341962
2017-03-31,JKM-NBP,0.04465647866413357
2017-04-03,JKM-NBP,0.04456334493487975
2017-04-04,JKM-NBP,0.0444788236624427
2017-04-05,JKM-NBP,0.044525868253563194
2017-04-06,JKM-NBP,0.044806951499252456
2017-04-07,JKM-NBP,0.04510027330131287
2017-04-10,JKM-NBP,0.04274301778760214
2017-04-11,JKM-NBP,0.042524480169147866
2017-04-12,JKM-NBP,0.041460645479143896
2017-04-13,JKM-NBP,0.041331124440812834
2017-04-18,JKM-NBP,0.03517663349795642
2017-04-19,JKM-NBP,0.03507596431765079
2017-04-20,JKM-NBP,0.05335958487318985
2017-04-21,JKM-NBP,0.05359009617004114
2017-04-24,JKM-NBP,0.053497024052091585
2017-04-25,JKM-NBP,0.03282608920491612
2017-04-26,JKM-NBP,0.03326737618288235
2017-04-27,JKM-NBP,0.03526001547606103
2017-04-28,JKM-NBP,0.027913280794141737
2017-05-02,JKM-NBP,0.027548030594518654
2017-05-03,JKM-NBP,0.03205239598464552
2017-05-04,JKM-NBP,0.03206626106659491
2017-05-05,JKM-NBP,0.032181966498942255
2017-05-08,JKM-NBP,0.02764344725775884
2017-05-09,JKM-NBP,0.028659874303366133
2017-05-10,JKM-NBP,0.028930866626195817
2017-05-11,JKM-NBP,0.02942868707857626
2017-05-12,JKM-NBP,0.030088785656833164
2017-05-15,JKM-NBP,0.029846885463336612
2017-05-16,JKM-NBP,0.029803935302172117
2017-05-17,JKM-NBP,0.029460026626785433
2017-05-18,JKM-NBP,0.02917047075506444
2017-05-19,JKM-NBP,0.029305363104280092
2017-05-22,JKM-NBP,0.03080687710225882
2017-05-23,JKM-NBP,0.03070745155971458
2017-05-24,JKM-NBP,0.033443834449732916
2017-05-25,JKM-NBP,0.034067631619532676
2017-05-26,JKM-NBP,0.033976707906663635
2017-05-30,JKM-NBP,0.03304130875970157
2017-05-31,JKM-NBP,0.031240783998084973
2017-06-01,JKM-NBP,0.03172433462805172
2017-06-02,JKM-NBP,0.03008627985345278
2017-06-05,JKM-NBP,0.030235002036630404
2017-06-06,JKM-NBP,0.027987620774875127
2017-06-07,JKM-NBP,0.027962371711341784
2017-06-08,JKM-NBP,0.02674855445540332
2017-06-09,JKM-NBP,0.026272444855314915
2017-06-12,JKM-NBP,0.026089081583165582
2017-06-13,JKM-NBP,0.02608580904095761
2017-06-14,JKM-NBP,0.026707060943980874
2017-06-15,JKM-NBP,0.02680295921169164
2017-06-16,JKM-NBP,0.026547943123756704
2017-06-19,JKM-NBP,0.026617841495981624
2017-06-20,JKM-NBP,0.02651950947592433
2017-06-21,JKM-NBP,0.026597144688798625
2017-06-22,JKM-NBP,0.023827432762884865
2017-06-23,JKM-NBP,0.03110237559687055
2017-06-26,JKM-NBP,0.03100815976478661
