Dependent,Independent,Date,Residual_Std
JKM,NBP,2016-01-06,2.3783568221896208e-4
JKM,NBP,2016-01-07,-0.01624932117957386
JKM,NBP,2016-01-08,0.03184040128879935
JKM,NBP,2016-01-11,-0.01210988683029484
JKM,NBP,2016-01-12,-0.12322754959590114
JKM,NBP,2016-01-13,0.007263044376528547
JKM,NBP,2016-01-14,-0.012338176092376973
JKM,NBP,2016-01-19,-3.3374896983228943
JKM,NBP,2016-01-20,-0.4764395022557481
JKM,NBP,2016-01-21,-2.358867406559605
JKM,NBP,2016-01-22,1.090057186880829
JKM,NBP,2016-01-25,0.8660129723725403
JKM,NBP,2016-01-26,1.0825619668459838
JKM,NBP,2016-01-27,0.7437533797704182
JKM,NBP,2016-01-28,0.8233498675967449
JKM,NBP,2016-01-29,1.0251318104680114
JKM,NBP,2016-02-01,1.3880340158145674
JKM,NBP,2016-02-02,1.7678304302565333
JKM,NBP,2016-02-03,1.248643350706893
JKM,NBP,2016-02-04,1.305276839043596
JKM,NBP,2016-02-05,0.7213162621168375
JKM,NBP,2016-02-08,0.6180252842378865
JKM,NBP,2016-02-09,0.5427881144397306
JKM,NBP,2016-02-10,0.6168952459333563
JKM,NBP,2016-02-11,0.5975048681498483
JKM,NBP,2016-02-12,0.32305388411392666
JKM,NBP,2016-02-16,-3.6531865685082723
JKM,NBP,2016-02-17,0.18391594549329435
JKM,NBP,2016-02-18,-0.360731909951008
JKM,NBP,2016-02-19,0.14294288493786364
JKM,NBP,2016-02-22,-0.48241134790620777
JKM,NBP,2016-02-23,0.13024143822470347
JKM,NBP,2016-02-24,0.15647242414267212
JKM,NBP,2016-02-25,0.557735686689447
JKM,NBP,2016-02-26,0.044837923835253736
JKM,NBP,2016-02-29,0.3875626580370217
JKM,NBP,2016-03-01,0.13556084626296372
JKM,NBP,2016-03-02,0.26867864682390175
JKM,NBP,2016-03-03,0.2932147766903417
JKM,NBP,2016-03-04,0.32631081237908716
JKM,NBP,2016-03-07,0.2880418664289709
JKM,NBP,2016-03-08,0.05650176276634802
JKM,NBP,2016-03-09,0.09360377248744658
JKM,NBP,2016-03-10,0.23701834469461766
JKM,NBP,2016-03-11,-0.03113017318970273
JKM,NBP,2016-03-14,-0.03536427389557664
JKM,NBP,2016-03-15,-0.09089836617552217
JKM,NBP,2016-03-16,-0.5051307149614597
JKM,NBP,2016-03-17,-0.2917104533612395
JKM,NBP,2016-03-18,-0.20792449286267403
JKM,NBP,2016-03-21,-0.5401282116724178
JKM,NBP,2016-03-22,-0.06039054899463447
JKM,NBP,2016-03-23,-0.09794244240684714
JKM,NBP,2016-03-24,-0.22336643325109046
JKM,NBP,2016-03-29,-0.25733358784046073
JKM,NBP,2016-03-30,-0.17576296693460067
JKM,NBP,2016-03-31,0.08583044357395224
JKM,NBP,2016-04-01,0.35788636008205676
JKM,NBP,2016-04-04,0.1968835987817931
JKM,NBP,2016-04-05,0.23975832862208915
JKM,NBP,2016-04-06,-0.1455894095048658
JKM,NBP,2016-04-07,0.10467242004817127
JKM,NBP,2016-04-18,-3.2139132826545214
JKM,NBP,2016-04-19,-0.4682326690313146
JKM,NBP,2016-04-20,0.16467664569516485
JKM,NBP,2016-04-21,1.2643788524689914
JKM,NBP,2016-04-22,-0.7890427474192234
JKM,NBP,2016-04-25,0.46759304925533934
JKM,NBP,2016-04-26,-0.41076853649655715
JKM,NBP,2016-04-27,-0.004468998984757799
JKM,NBP,2016-04-28,0.5382052485494506
JKM,NBP,2016-04-29,0.19008201246298093
JKM,NBP,2016-05-02,-0.027843875510553
JKM,NBP,2016-05-03,-0.09104656128567867
JKM,NBP,2016-05-04,-0.2052074805788669
JKM,NBP,2016-05-05,-0.24691771246458535
JKM,NBP,2016-05-06,-0.4025013469768537
JKM,NBP,2016-05-09,-0.34172501928982885
JKM,NBP,2016-05-10,-0.06652735273046272
JKM,NBP,2016-05-11,-0.17189661546397778
JKM,NBP,2016-05-12,-0.04948626679066976
JKM,NBP,2016-05-16,-0.16187582196016073
JKM,NBP,2016-05-17,-0.1939923098787316
JKM,NBP,2016-05-18,0.7952745786911418
JKM,NBP,2016-05-19,-0.07059048856426961
JKM,NBP,2016-05-20,-0.1741410695953919
JKM,NBP,2016-05-23,-0.08992988255478837
JKM,NBP,2016-05-24,-0.13669173044756758
JKM,NBP,2016-05-25,-0.2791495234006826
JKM,NBP,2016-05-26,0.023407412424484644
JKM,NBP,2016-05-27,-0.32468848287034935
JKM,NBP,2016-05-31,0.01111799376574272
JKM,NBP,2016-06-01,-0.33990555507796066
JKM,NBP,2016-06-02,0.16149370041586475
JKM,NBP,2016-06-03,-0.1703170143081117
JKM,NBP,2016-06-06,-0.13920067433327932
JKM,NBP,2016-06-07,-0.012333879758521894
JKM,NBP,2016-06-08,-0.029854757192274903
JKM,NBP,2016-06-09,0.02364173627278983
JKM,NBP,2016-06-10,0.20494998704681855
JKM,NBP,2016-06-13,0.08579473107120886
JKM,NBP,2016-06-14,-0.07832266907331643
JKM,NBP,2016-06-15,-0.17175751778039455
JKM,NBP,2016-06-16,1.2016514287343762
JKM,NBP,2016-06-17,-0.2756199372852694
JKM,NBP,2016-06-20,-0.14692868407595755
JKM,NBP,2016-06-21,0.9146502612709055
JKM,NBP,2016-06-22,-0.16575664921992714
JKM,NBP,2016-06-23,0.1423204017211525
JKM,NBP,2016-06-24,0.13737373973149522
JKM,NBP,2016-06-27,-0.1346972071468451
JKM,NBP,2016-06-28,0.13624190031161335
JKM,NBP,2016-06-29,-0.04459683034294634
JKM,NBP,2016-06-30,-0.3025213286504286
JKM,NBP,2016-07-01,-0.07855927400989084
JKM,NBP,2016-07-05,-0.17631587502798374
JKM,NBP,2016-07-06,-0.006808487642433415
JKM,NBP,2016-07-07,-0.08917919164611733
JKM,NBP,2016-07-08,0.20304334500045174
JKM,NBP,2016-07-11,0.1267433647000954
JKM,NBP,2016-07-12,-0.05226360008638438
JKM,NBP,2016-07-13,0.04865947038670443
JKM,NBP,2016-07-14,-0.017187639717337125
JKM,NBP,2016-07-15,0.15480726804837994
JKM,NBP,2016-07-18,2.0535365225659596
JKM,NBP,2016-07-19,0.2596843400343421
JKM,NBP,2016-07-20,-0.1198024450013275
JKM,NBP,2016-07-21,0.12466512775005724
JKM,NBP,2016-07-22,0.263328060372818
JKM,NBP,2016-07-25,-0.023234073225369162
JKM,NBP,2016-07-26,-0.06497884899450321
JKM,NBP,2016-07-27,-0.03722142415820901
JKM,NBP,2016-07-28,0.053137574712244895
JKM,NBP,2016-07-29,-0.0491265876967721
JKM,NBP,2016-08-01,0.10492611465990948
JKM,NBP,2016-08-02,-0.27812456263757906
JKM,NBP,2016-08-03,-0.2399433634342363
JKM,NBP,2016-08-04,0.17337491482230213
JKM,NBP,2016-08-05,0.2408868875076187
JKM,NBP,2016-08-08,0.10277607333822865
JKM,NBP,2016-08-09,0.17254223188971443
JKM,NBP,2016-08-10,-0.025741938409783862
JKM,NBP,2016-08-11,0.0878570950993177
JKM,NBP,2016-08-12,0.2738917727913434
JKM,NBP,2016-08-15,0.3333599153977895
JKM,NBP,2016-08-16,-1.9241498736194325
JKM,NBP,2016-08-17,0.318121779109955
JKM,NBP,2016-08-18,0.1083819247746983
JKM,NBP,2016-08-19,1.1262344235814739
JKM,NBP,2016-08-22,-0.043028362073242274
