Dependent,Independent,Date,v_t,F_t,LogLik_t
JKM,NBP,2016-01-06,0.00807585376582276,1498.6085557310073,-4.575084718496225
JKM,NBP,2016-01-07,-0.0054407777382206035,0.14131885478117365,0.05932501191461779
JKM,NBP,2016-01-08,0.002812808473477535,0.008116402340561229,1.4875082076570905
JKM,NBP,2016-01-11,-6.814240551082928e-4,0.0031925224562025668,1.9544607119493622
JKM,NBP,2016-01-12,-0.006961164027368794,0.003223804652387101,1.942142367133741
JKM,NBP,2016-01-13,4.1622522454121125e-4,0.003012331041251497,1.9835532448999476
JKM,NBP,2016-01-14,-4.633265641125206e-4,0.0013905936380308474,2.3699965524399613
JKM,NBP,2016-01-19,-0.19965763556658778,0.0035816617123660844,-3.667873333566086
JKM,NBP,2016-01-20,-0.5334766665037993,1.2664970756981502,-1.1494220777140207
JKM,NBP,2016-01-21,-1.8453324570117493,0.6110342804155051,-3.4591029199156087
JKM,NBP,2016-01-22,0.05326792578526862,0.002383004653301014,1.505402097865814
JKM,NBP,2016-01-25,0.030327763221380755,0.0012376572399647272,2.056750640753668
JKM,NBP,2016-01-26,0.0368770912318106,0.0011623188170650743,1.8747276681159564
JKM,NBP,2016-01-27,0.026601853735897185,0.0012752207047194793,2.1359143181314133
JKM,NBP,2016-01-28,0.0327791437197924,0.0015831032911437306,1.9658892563395618
JKM,NBP,2016-01-29,0.034040227269521495,0.0011045880490508338,1.96069191826859
JKM,NBP,2016-02-01,0.04690338402197636,0.0011406656031422047,1.504815704817784
JKM,NBP,2016-02-02,0.0591689623267484,0.0011206942363036015,0.9160018256567799
JKM,NBP,2016-02-03,0.0432791687211278,0.0012018963850112616,1.6637675252755142
JKM,NBP,2016-02-04,0.0442354350992864,0.0011478748359867908,1.613636683055831
JKM,NBP,2016-02-05,0.024170562188199796,0.001120208543374631,2.2174194779189467
JKM,NBP,2016-02-08,0.020459668202085668,0.001095803352352126,2.29819471035634
JKM,NBP,2016-02-09,0.018035569524629036,0.001112349019540936,2.3354882035864457
JKM,NBP,2016-02-10,0.020088024925106085,0.001066724284721107,2.3134989555527783
JKM,NBP,2016-02-11,0.01942599292107494,0.0010638891974029366,2.3266198623838967
JKM,NBP,2016-02-12,0.010603757729054974,0.0010878719695097616,2.441148645645679
JKM,NBP,2016-02-16,-0.11843257424564424,0.001053548181104324,-4.147826738277043
JKM,NBP,2016-02-17,0.007134657501441932,0.0015020078200308538,2.314592628999243
JKM,NBP,2016-02-18,-0.013449114693342867,0.0013612701523468922,2.314292537950266
JKM,NBP,2016-02-19,0.004564706082863079,0.0010840507033166606,2.4849762667771027
JKM,NBP,2016-02-22,-0.016058776733622215,0.0010958277321584506,2.3715176611619766
JKM,NBP,2016-02-23,0.004065767043273549,0.0010312610938044203,2.5115332151017387
JKM,NBP,2016-02-24,0.004952987171089163,0.0010390119225494,2.5039985265055296
JKM,NBP,2016-02-25,0.01781773677434817,0.001025570404652751,2.367536498808321
JKM,NBP,2016-02-26,0.0014438339755205032,0.0010321549864935036,2.518104831682411
JKM,NBP,2016-02-29,0.012293043461553577,0.0010097731128554143,2.4552481190737048
JKM,NBP,2016-03-01,0.004295061654891352,0.0010091899623322761,2.5212253274525316
JKM,NBP,2016-03-02,0.00851871133296056,0.001007469985132371,2.4952028063400933
JKM,NBP,2016-03-03,0.009268134763846803,0.0010028522857309756,2.4906879873032635
JKM,NBP,2016-03-04,0.01039531826192186,0.0010148082702925128,2.47434637125419
JKM,NBP,2016-03-07,0.0091355014900385,9.974300801655926e-4,2.4943895107181975
JKM,NBP,2016-03-08,0.0018382971108772406,9.991048432351735e-4,2.533695703107903
JKM,NBP,2016-03-09,0.0029844612691680705,0.0010010707570911688,2.5299552731539587
JKM,NBP,2016-03-10,0.007455522858381691,9.917901215658268e-4,2.511038517196829
JKM,NBP,2016-03-11,-9.698676214289215e-4,0.00100991202802767,2.5295417877224913
JKM,NBP,2016-03-14,-0.0011147522662349196,9.947392957167427e-4,2.536951779281024
JKM,NBP,2016-03-15,-0.0028683985634920806,9.995273909598431e-4,2.531059666339938
JKM,NBP,2016-03-16,-0.015949678203037276,9.984975801937614e-4,2.4083033741680375
JKM,NBP,2016-03-17,-0.009403060852896106,0.001041007797883381,2.47237717931458
JKM,NBP,2016-03-18,-0.006644830159895809,0.0010148627937351228,2.5058088287265528
JKM,NBP,2016-03-21,-0.017280305198169588,0.0010237404771640578,2.3773654666442883
JKM,NBP,2016-03-22,-0.001889148318247491,0.0010192271912148267,2.5236659859191013
JKM,NBP,2016-03-23,-0.003093622322598577,0.0010131926733066895,2.5236629610316252
JKM,NBP,2016-03-24,-0.007083346871259,0.001010960017788737,2.5046739808724725
JKM,NBP,2016-03-29,-0.008270884021595926,0.0010294572534568186,2.4871982010576366
JKM,NBP,2016-03-30,-0.005664226406286277,0.0010236571526025377,2.5075772777925516
JKM,NBP,2016-03-31,0.00276486239286422,0.001065933913253984,2.4994276360949987
JKM,NBP,2016-04-01,0.011751672433941485,0.0010756205593795197,2.4342938871019197
JKM,NBP,2016-04-04,0.006463291140831995,0.0010633365585923746,2.484590326273121
JKM,NBP,2016-04-05,0.007704840694315651,0.0010179883455602205,2.496867086685107
JKM,NBP,2016-04-06,-0.004472446187725243,9.821281592185271e-4,2.5337724584181807
JKM,NBP,2016-04-07,0.003365262037320571,0.0010093949010066806,2.524653793725213
JKM,NBP,2016-04-18,-0.1249568642097747,0.0015235682264494736,-2.7998151254657424
JKM,NBP,2016-04-19,-0.016679995677529424,0.0012582922170500607,2.309505894987814
JKM,NBP,2016-04-20,0.005404558938870263,0.0011359922222549624,2.4583295942277075
JKM,NBP,2016-04-21,0.04267188607913264,0.0011474011195229668,1.672704925332069
JKM,NBP,2016-04-22,-0.02746587964543412,0.0012045617622351385,2.1287488331560653
JKM,NBP,2016-04-25,0.015305802725774864,0.0010867381414368079,2.385564017170607
JKM,NBP,2016-04-26,-0.014762808614140477,0.0012802970173353592,2.3262797935598813
JKM,NBP,2016-04-27,-2.586483765869563e-4,0.0011040679711155122,2.485408052699841
JKM,NBP,2016-04-28,0.0187616957250214,0.0012280086927294865,2.2889201916442206
JKM,NBP,2016-04-29,0.006447359271365194,0.001136079193699522,2.4528528973409816
JKM,NBP,2016-05-02,-8.45377638290401e-4,0.0010587655905729668,2.5060497617384105
JKM,NBP,2016-05-03,-0.0030078219901072956,0.001120714632508585,2.47391957218093
JKM,NBP,2016-05-04,-0.0065447912829250665,0.0010362152613053997,2.4964830278181487
JKM,NBP,2016-05-05,-0.007991510681645497,0.0010512193722829412,2.479587439528362
JKM,NBP,2016-05-06,-0.013034522565466666,0.0010460926805126716,2.4312017530918926
JKM,NBP,2016-05-09,-0.011148742499091702,0.0010590060907636133,2.4475892098084566
JKM,NBP,2016-05-10,-0.002199103105456457,0.0010506899035738798,2.5079142356100075
JKM,NBP,2016-05-11,-0.005607466317063992,0.0010575763146257829,2.4920832943853966
JKM,NBP,2016-05-12,-0.0016306040322080495,0.0010617388907129194,2.50373296314207
JKM,NBP,2016-05-16,-0.005330154115757324,0.0010857647943454164,2.4807136031495447
JKM,NBP,2016-05-17,-0.006366696164967989,0.001070134156450409,2.4821079659350347
JKM,NBP,2016-05-18,0.025924959567420247,0.0010666726965890168,2.18762027115691
JKM,NBP,2016-05-19,-0.0023285418001322,0.0010863657406271479,2.4910246094627855
JKM,NBP,2016-05-20,-0.00565839406654467,0.001066358017409307,2.487802034768215
JKM,NBP,2016-05-23,-0.002931954198755804,0.0010630322979233036,2.500333046881799
JKM,NBP,2016-05-24,-0.004455612427230582,0.0010626461606148747,2.4952169591079025
JKM,NBP,2016-05-25,-0.009182415340598382,0.0010796689095756479,2.457564388120522
JKM,NBP,2016-05-26,7.283940350353291e-4,0.0010946096388213093,2.489497853281132
