Dependent,Independent,Lag,ACF,Significant
NBP,JKM,28,0.030618735541728476,FALSE
NBP,JKM,29,-0.03868893120396992,FALSE
NBP,JKM,30,-0.03998662304207721,TRUE
NBP,JKM,31,0.028460187429788234,FALSE
NBP,JKM,32,-0.008924108120311025,FALSE
NBP,JKM,33,-0.036007940750306736,FALSE
NBP,JKM,34,0.03214304979530937,FALSE
NBP,TTF,1,0.033667789001433863,FALSE
NBP,TTF,2,-0.002356689708070078,FALSE
NBP,TTF,3,0.015219404761994135,FALSE
NBP,TTF,4,-0.12154982529930472,TRUE
NBP,TTF,5,-0.018431966653454562,FALSE
NBP,TTF,6,-0.05197152124996011,TRUE
NBP,TTF,7,-0.02654199922070244,FALSE
NBP,TTF,8,0.036298600877975186,FALSE
NBP,TTF,9,-0.06960935528215965,TRUE
NBP,TTF,10,0.0415905453604715,TRUE
NBP,TTF,11,0.04108924973506853,TRUE
NBP,TTF,12,0.018930496293507945,FALSE
NBP,TTF,13,-0.015030873426199408,FALSE
NBP,TTF,14,0.03220237227078945,FALSE
NBP,TTF,15,-0.017977949977417394,FALSE
NBP,TTF,16,0.007758663818915218,FALSE
NBP,TTF,17,-0.027164080879699733,FALSE
NBP,TTF,18,0.026852554372038352,FALSE
NBP,TTF,19,-0.0036754060906529925,FALSE
NBP,TTF,20,-0.012758244720440442,FALSE
NBP,TTF,21,-0.04148473188935107,TRUE
NBP,TTF,22,-0.01029037523467037,FALSE
NBP,TTF,23,-0.03372977136710946,FALSE
NBP,TTF,24,0.009863304116614369,FALSE
NBP,TTF,25,-0.02220072838274181,FALSE
NBP,TTF,26,-0.02556544576547689,FALSE
NBP,TTF,27,0.0438466890743709,TRUE
NBP,TTF,28,0.034724407275060196,FALSE
NBP,TTF,29,0.023808746665262902,FALSE
NBP,TTF,30,-0.024822925606357005,FALSE
NBP,TTF,31,-0.010185899631456203,FALSE
NBP,TTF,32,-0.005662669645918132,FALSE
NBP,TTF,33,-0.02633121975166564,FALSE
NBP,TTF,34,0.03371551515925816,FALSE
NBP,HH,1,-0.04792718189484465,TRUE
NBP,HH,2,-0.007223837607151097,FALSE
NBP,HH,3,-0.022664232498431764,FALSE
NBP,HH,4,0.037193217001385066,FALSE
NBP,HH,5,-0.05677112315627577,TRUE
NBP,HH,6,-0.02819188054632953,FALSE
NBP,HH,7,0.019527590933235014,FALSE
NBP,HH,8,0.0011859764010005661,FALSE
NBP,HH,9,-0.04297545892620869,TRUE
NBP,HH,10,-0.04732297049000523,TRUE
NBP,HH,11,0.03563649476524069,FALSE
NBP,HH,12,0.011782596631766326,FALSE
NBP,HH,13,-0.011347928402507108,FALSE
NBP,HH,14,0.03798380881355005,FALSE
NBP,HH,15,-0.021619336056126617,FALSE
NBP,HH,16,-0.031047885390044574,FALSE
NBP,HH,17,-0.025371737185369413,FALSE
NBP,HH,18,0.008223537206658835,FALSE
NBP,HH,19,-0.012105951929386918,FALSE
NBP,HH,20,0.013470085856039999,FALSE
NBP,HH,21,-0.00504178075547713,FALSE
NBP,HH,22,0.006465678571027962,FALSE
NBP,HH,23,0.03391144060175129,FALSE
NBP,HH,24,-0.0179518268926735,FALSE
NBP,HH,25,-0.006114488974580496,FALSE
NBP,HH,26,0.00464947481458276,FALSE
NBP,HH,27,0.022730919274920405,FALSE
NBP,HH,28,0.012118136547106396,FALSE
NBP,HH,29,-0.0416749171409551,TRUE
NBP,HH,30,-0.018050493895144733,FALSE
NBP,HH,31,0.021607632705852,FALSE
NBP,HH,32,-0.012117908421627915,FALSE
NBP,HH,33,-0.008869746391318585,FALSE
NBP,HH,34,0.04809937023475597,TRUE
TTF,JKM,1,-0.06089911443334293,TRUE
TTF,JKM,2,-0.008663413608034404,FALSE
TTF,JKM,3,-0.02089463332692155,FALSE
TTF,JKM,4,0.026095310967014427,FALSE
TTF,JKM,5,-0.05683934494041114,TRUE
TTF,JKM,6,-0.01564150413881674,FALSE
TTF,JKM,7,-0.008005923831873617,FALSE
TTF,JKM,8,-0.01991513872390492,FALSE
TTF,JKM,9,-0.04723729109315962,TRUE
TTF,JKM,10,-0.048173692055655276,TRUE
TTF,JKM,11,0.011831640349008984,FALSE
TTF,JKM,12,-0.02309018514042532,FALSE
TTF,JKM,13,-0.024450809784023714,FALSE
TTF,JKM,14,0.042105171752297596,TRUE
TTF,JKM,15,-0.007934451978574331,FALSE
TTF,JKM,16,-0.012436910099343147,FALSE
TTF,JKM,17,-0.03547316837392265,FALSE
TTF,JKM,18,0.02405580645529253,FALSE
TTF,JKM,19,0.01805423904254474,FALSE
TTF,JKM,20,0.018662613984831218,FALSE
TTF,JKM,21,0.02428995271290717,FALSE
TTF,JKM,22,-0.009636700076190502,FALSE
TTF,JKM,23,0.03156859662813137,FALSE
TTF,JKM,24,-0.009025728706628268,FALSE
TTF,JKM,25,-0.002960980736190211,FALSE
TTF,JKM,26,-0.010508750341426402,FALSE
TTF,JKM,27,-0.008005822575577142,FALSE
TTF,JKM,28,0.01361212271414873,FALSE
TTF,JKM,29,-0.05510960948087523,TRUE
TTF,JKM,30,-0.013342424018989597,FALSE
TTF,JKM,31,3.4532788622000014e-4,FALSE
TTF,JKM,32,-4.752839380504082e-4,FALSE
TTF,JKM,33,-0.038573672901283454,FALSE
TTF,JKM,34,0.016948848012370534,FALSE
TTF,NBP,1,0.029731944904780407,FALSE
TTF,NBP,2,0.00669973391648639,FALSE
TTF,NBP,3,0.022741072104072575,FALSE
TTF,NBP,4,-0.08505204745439639,TRUE
TTF,NBP,5,0.02189155318823736,FALSE
TTF,NBP,6,-0.026267200710340992,FALSE
TTF,NBP,7,-4.6307815203006146e-4,FALSE
TTF,NBP,8,0.029994188252571427,FALSE
TTF,NBP,9,-0.059913742852306835,TRUE
TTF,NBP,10,0.07349635115900167,TRUE
TTF,NBP,11,-0.0013761259070637275,FALSE
TTF,NBP,12,-0.01374985999516503,FALSE
TTF,NBP,13,-0.003053554333564665,FALSE
TTF,NBP,14,0.02738569979329452,FALSE
TTF,NBP,15,0.029686266292107206,FALSE
TTF,NBP,16,0.012057079632808705,FALSE
TTF,NBP,17,-0.05875069023502927,TRUE
TTF,NBP,18,0.018571217132265252,FALSE
TTF,NBP,19,-0.00863040490522626,FALSE
TTF,NBP,20,-0.015468229831662668,FALSE
TTF,NBP,21,-0.008331875337771421,FALSE
TTF,NBP,22,-0.03710172225731439,FALSE
TTF,NBP,23,-0.06131262442013233,TRUE
TTF,NBP,24,0.00685170765346169,FALSE
TTF,NBP,25,-0.004520408864324993,FALSE
TTF,NBP,26,-0.02627307806677356,FALSE
TTF,NBP,27,0.002063796346785179,FALSE
TTF,NBP,28,0.00779810187124456,FALSE
TTF,NBP,29,0.03394206126293804,FALSE
TTF,NBP,30,-0.0037538536749599787,FALSE
TTF,NBP,31,-0.0363508947277411,FALSE
TTF,NBP,32,0.014512803596344265,FALSE
TTF,NBP,33,-0.0013816719256929742,FALSE
TTF,NBP,34,0.017904517871440515,FALSE
TTF,HH,1,-0.03965205181219503,TRUE
TTF,HH,2,-0.008807237909355009,FALSE
TTF,HH,3,-0.03415290600400919,FALSE
TTF,HH,4,0.05809339948509391,TRUE
TTF,HH,5,-0.06214395674692619,TRUE
TTF,HH,6,-0.032323763241024275,FALSE
TTF,HH,7,0.0291555584561734,FALSE
TTF,HH,8,-0.005409371088041281,FALSE
TTF,HH,9,-0.03986500348576173,TRUE
TTF,HH,10,-0.05238635226614274,TRUE
TTF,HH,11,0.02160912147198537,FALSE
TTF,HH,12,0.008645995972482499,FALSE
TTF,HH,13,-0.00393115678112232,FALSE
TTF,HH,14,0.03273949471280108,FALSE
TTF,HH,15,-0.0014520534732882092,FALSE
TTF,HH,16,-0.030567859496181026,FALSE
TTF,HH,17,-0.046495457143399636,TRUE
TTF,HH,18,0.002022078114162731,FALSE
TTF,HH,19,0.0031490019508215628,FALSE
TTF,HH,20,0.025799417825968993,FALSE
TTF,HH,21,0.001769178226194078,FALSE
TTF,HH,22,-0.006222488605455079,FALSE
TTF,HH,23,0.025350627446499602,FALSE
TTF,HH,24,-0.01780932642911426,FALSE
TTF,HH,25,-0.0011946850965648679,FALSE
TTF,HH,26,0.0012624668804958094,FALSE
TTF,HH,27,0.008100851827656201,FALSE
TTF,HH,28,0.006894647500286326,FALSE
TTF,HH,29,-0.054794024017781134,TRUE
TTF,HH,30,-0.006633804704883514,FALSE
TTF,HH,31,3.2738092049141085e-4,FALSE
TTF,HH,32,-0.007194849399133475,FALSE
TTF,HH,33,2.806334157326645e-4,FALSE
TTF,HH,34,0.031170220380946995,FALSE
HH,JKM,1,-0.0621950088750179,TRUE
HH,JKM,2,0.049540361310550694,TRUE
HH,JKM,3,-0.02573032555827558,FALSE
HH,JKM,4,-0.005179233341833989,FALSE
HH,JKM,5,-0.06320980867565211,TRUE
HH,JKM,6,-0.024978448840714474,FALSE
HH,JKM,7,-0.028307871814907924,FALSE
