Dependent,Independent,LB_stat,LB_p,LB_sq_stat,LB_sq_p,JB_stat,JB_p
JKM,NBP,52.29786496597889,1.0301100848275624e-4,44.67046640802068,0.001222794282099926,953150.5532295785,0
JKM,TTF,53.35973058816475,7.19393680722602e-5,44.2480570015807,0.0013939517863920114,1233494.0304775278,0
JKM,HH,29.11824360238431,0.08545709644808153,54.95146420802709,4.1752809030737303e-5,614220.2765848608,0
NBP,JKM,48.497415463062126,3.6210077791121176e-4,1055.741791289327,0,4948.822642461106,0
NBP,TTF,83.73833988030407,9.025812319762849e-10,1128.2800651353866,0,80433.83307830432,0
NBP,HH,46.01162207245337,8.030656699450356e-4,696.3729728519883,0,6413.36577419159,0
TTF,JKM,48.489291873275576,3.630571505293112e-4,698.9301974673922,0,6646.123994299243,0
TTF,NBP,65.3692952857734,1.019069741925449e-6,735.7316084719707,0,72419.84808039808,0
TTF,HH,54.95166420209496,4.174993696681728e-5,802.0540268801315,0,10550.584326968386,0
HH,JKM,45.54684631844027,9.297450013069364e-4,191.9452910141818,0,54283.1736991505,0
HH,NBP,39.736154759752104,0.005393298176094352,191.45260223142583,0,35111.58708044282,0
HH,TTF,39.7629903129462,0.005351502570473787,191.20575695617117,0,39772.342613226305,0
