Dependent,Independent,Window,N,SD_residual,Mean_abs_residual,LB_p,LB_sq_p
JKM,NBP,Pre-COVID,1001,0.7862669137581132,0.30818223042241727,0.42860559017287037,0.9833348971423099
JKM,NBP,COVID shock,102,1.102129874334809,0.6968361114209005,0.6893197654413067,0.9988206580978319
JKM,NBP,Interim recovery,290,1.7477063525257122,0.6866712256716647,0.05345312170748551,0.9989807611454533
JKM,NBP,Energy crisis (pre-war),118,1.1228916163758698,0.6584399833070631,0.1146963693958013,0.999982275713354
JKM,NBP,Post-invasion crisis,208,1.3577575055129578,0.8531339813066662,0.0034485023751775756,0.9760319060394582
JKM,NBP,Normalization,801,0.6668896879256024,0.3129570743099837,0.4915227110293132,0.9397320626954581
JKM,TTF,Pre-COVID,1001,0.7760746541325104,0.3048888780123641,0.48533202624543414,0.982444271433233
JKM,TTF,COVID shock,102,1.041156790219873,0.6506454089017547,0.8004371408048906,0.9983015931263407
JKM,TTF,Interim recovery,290,1.78758324217684,0.6868413890481605,0.076746312444126,0.99903110908426
JKM,TTF,Energy crisis (pre-war),118,1.1760012943483256,0.6985629490111289,0.07770130197543967,0.9999546193273643
JKM,TTF,Post-invasion crisis,208,1.3063604336730466,0.8225740150546731,0.0012604873576612663,0.9949086397422308
JKM,TTF,Normalization,801,0.66960829968981606,0.31732735325731276,0.21217211100024835,0.9773337993279444
JKM,HH,Pre-COVID,1001,0.7248184439328943,0.289336421608862,0.5906284399214596,0.9737415939149671
JKM,HH,COVID shock,102,1.0061699668028392,0.6325060591388387,0.9248608631015168,0.990164177645165
JKM,HH,Interim recovery,290,1.6797501099926424,0.7080649077115404,0.10042083881107366,0.9952532573145912
JKM,HH,Energy crisis (pre-war),118,1.3702351160590625,0.8542093595208841,0.023989815490122135,0.902646275877018
JKM,HH,Post-invasion crisis,208,1.3499827175513606,0.7475469649509269,0.02788699282412166,0.0010419949717681565
JKM,HH,Normalization,801,0.7638275992682984,0.36127949843158147,0.6168052406965394,0.3290372788117637
NBP,JKM,Pre-COVID,1001,0.7153858259091151,0.49833592298714235,0.0034164865101981023,1.8780613748048403e-4
NBP,JKM,COVID shock,102,1.7546891851920063,1.246567941032919,0.23902777355841354,9.096847862766211e-7
NBP,JKM,Interim recovery,290,1.0341813126701624,0.7469260563442426,0.1018814630954773,2.7755575615628914e-15
NBP,JKM,Energy crisis (pre-war),118,1.1245082361614882,0.8454755148860758,0.8473579063093765,0.03993936387885488
NBP,JKM,Post-invasion crisis,208,1.7685942907279395,1.3502656565728308,0.2184047284530588,0.024933629438691818
NBP,JKM,Normalization,801,0.8530281669327962,0.5913133674616334,4.411849200414153e-7,0
